participant_id,consent,important,science_class,theology_class,accept,gov_funding,who_funded,replicated,belief_likert,attention_check,reading_check,sex,age,done_before,explained_belief,condition,presence,composite_trust,theism,attention_correct
R_eQjvZ5sqGKW8asB,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_8i6P8ajtVrHxPP7,consent,1,2,2,2,-2,-3,-3,1,dax,36,male,37,no,god,abnormal,possess,-0.14285714285714285,theist,TRUE
R_9LINMvhwZ3TLPLL,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_0plrt49LFXsTiXX,consent,1,-1,-1,-1,0,-3,-3,-1,dax,26,male,28,no,atheism,normal,lack,-1.1428571428571428,atheist,TRUE
R_9TTvVPGoTId6JM1,consent,1,2,2,0,0,-3,-3,2,dax,2,male,22,no,god,normal,lack,-0.14285714285714285,theist,TRUE
R_4VFktsksR0wYM8B,consent,2,2,2,1,2,-1,-1,1,dax,0,male,22,no,atheism,abnormal,possess,1,theist,TRUE
R_1XJ13KCkUFmLLrD,consent,0,-1,0,0,0,-0,-0,3,NA,5,female,34,no,god,normal,lack,-0.14285714285714285,theist,FALSE
R_8iFQVB04WVSm48B,consent,3,2,2,0,-3,-3,-3,3,dax,235,female,31,no,atheism,abnormal,possess,-0.2857142857142857,theist,TRUE
R_4ZsU6Vx5iFGg2Wx,consent,1,3,1,1,-1,-3,-3,-2,dax,6,female,25,no,atheism,normal,possess,-0.14285714285714285,atheist,TRUE
R_8jDfsjm1e8faNo1,consent,-1,2,1,2,2,-1,-3,2,dax,0,female,34,no,god,abnormal,lack,0.2857142857142857,theist,TRUE
R_5BbU06YmDhnqUp7,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_9Ad8O7Ngnaq3gNf,consent,-1,2,0,-2,-3,-3,-2,-2,dax,6,female,60,no,atheism,normal,lack,-1.2857142857142858,atheist,TRUE
R_8ucZaJh5hVtxkz3,consent,1,0,0,1,0,-1,-0,0,dax,0,NA,NA,NA,atheism,normal,lack,0.14285714285714285,neither,TRUE
R_ahIwSaERLQmb45D,consent,1,1,0,0,0,-1,-1,3,NA,0,NA,NA,NA,atheism,abnormal,possess,0,theist,FALSE
R_71dO5ydj7PNGaTr,consent,2,-3,-3,-3,-3,-3,-3,3,dax,6,male,36,no,god,abnormal,possess,-2.2857142857142856,theist,TRUE
R_77XHapPBXGMP8fb,consent,0,-2,-2,-1,-1,-3,-2,3,dax,6,female,27,NA,atheism,abnormal,lack,-1.5714285714285714,theist,TRUE
R_01vYjTKui8PAaDb,consent,2,2,2,0,2,-2,-2,-1,dax,6,male,32,no,god,abnormal,lack,0.5714285714285714,atheist,TRUE
R_bOv12anR3SziNOR,consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,god,abnormal,possess,NA,NA,FALSE
R_29ql1KWFgs00KTH,consent,3,2,2,1,1,-3,-2,-2,dax,6,female,32,no,atheism,normal,possess,0.5714285714285714,atheist,TRUE
R_6A7GMicN7jNEU2F,consent,-2,-2,-2,-2,-2,-2,-2,3,dax,5,female,46,no,god,abnormal,lack,-2,theist,TRUE
R_2gaGNV4N9cRgpnL,consent,-1,1,1,1,-2,-3,-3,1,dax,6,male,25,no,atheism,normal,possess,-0.8571428571428571,theist,TRUE
R_9v5k3UY5P3LBj9j,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_cMIll0gB5fVrd9X,consent,1,0,0,0,1,-2,-3,1,dax,0,female,41,no,atheism,abnormal,possess,-0.42857142857142855,theist,TRUE
R_eWnyCpZBm5aOzGd,consent,3,-2,-2,-2,3,-3,-3,-3,NA,6,female,53,no,god,normal,lack,-0.8571428571428571,atheist,FALSE
R_5oKZfCOtq35FSMl,consent,2,2,2,2,2,-2,-0,0,NA,23,female,20,no,atheism,normal,lack,1.1428571428571428,neither,FALSE
R_3mlRkLZFk6cr8Xz,consent,2,-2,-2,-2,-2,-2,-3,3,dax,6,female,34,no,god,abnormal,possess,-1.5714285714285714,theist,TRUE
R_bdBSpS8m8klQJGB,consent,0,2,2,1,0,-0,-3,1,dax,26,female,38,no,atheism,abnormal,possess,0.2857142857142857,theist,TRUE
R_3eBmrYAtwIagewt,consent,1,0,1,0,-2,-2,-3,1,dax,0,male,22,yes,god,normal,lack,-0.7142857142857143,theist,TRUE
R_eRsDT580yaFN2IZ,consent,2,1,-1,2,2,-2,-2,-3,dax,6,female,28,no,god,normal,possess,0.2857142857142857,atheist,TRUE
R_9mZyBtcNiiH9E1L,consent,-1,-1,-1,-3,-2,-3,-3,-3,dax,0,female,25,no,atheism,abnormal,lack,-2,atheist,TRUE
R_06637rAS2LhCCgZ,consent,3,-2,1,-1,-1,2,-3,3,dax,6,male,21,no,atheism,normal,lack,-0.14285714285714285,theist,TRUE
R_2uws5IhORoNltJP,consent,0,0,0,0,0,-0,-2,2,dax,5,female,30,no,god,abnormal,possess,-0.2857142857142857,theist,TRUE
R_0TH4srv1ylxqxRX,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_cu9uLiP072ouRKJ,consent,-1,-2,-1,1,-2,2,-1,3,dax,6,male,33,no,atheism,abnormal,possess,-0.5714285714285714,theist,TRUE
R_a3r2mTN8nTgP8fH,consent,2,1,1,0,1,-2,-3,-3,dax,235,female,27,no,god,normal,lack,0,atheist,TRUE
R_73axWRKi0JRqNiR,consent,1,2,2,2,2,-1,-2,0,dax,5,male,27,maybe,atheism,normal,lack,0.8571428571428571,neither,TRUE
R_9naMMT1zeAJ3XNP,consent,0,2,2,1,0,-3,-3,-1,dax,6,male,24,no,god,abnormal,possess,-0.14285714285714285,atheist,TRUE
R_8wYeFPeoIWr59Ix,consent,-2,2,0,2,2,-3,-3,-3,dax,6,male,24,no,atheism,abnormal,lack,-0.2857142857142857,atheist,TRUE
R_1AhU9CGnKHPT4cB,consent,3,1,1,2,2,-3,-3,-2,dax,6,female,25,no,god,normal,possess,0.42857142857142855,atheist,TRUE
R_0eWAkNigw8rT3St,consent,-1,0,0,-2,-1,-3,-3,-2,dax,6,female,33,no,atheism,abnormal,possess,-1.4285714285714286,atheist,TRUE
R_aVnS2sn1GxXwD4h,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_b4ozkAgHc0P9ZZj,consent,-2,-2,-1,0,-2,-0,-0,3,dax,6,male,66,no,god,normal,lack,-1,theist,TRUE
R_6ifpSVBU39NNZJP,consent,2,2,2,-1,-1,-2,-3,-2,dax,6,male,47,no,atheism,abnormal,possess,-0.14285714285714285,atheist,TRUE
R_1SNlkWFjUoum5CZ,consent,-1,1,2,1,2,NA,-1,1,dax,3,male,26,no,god,normal,lack,NA,theist,TRUE
R_ekvMnZw8YT21JSR,consent,1,-1,-1,1,1,-3,-3,0,dax,6,male,26,no,god,normal,possess,-0.7142857142857143,neither,TRUE
R_9Brf1oWC3EgtHI9,consent,3,2,2,2,1,-3,-2,1,dax,2,male,20,no,atheism,abnormal,lack,0.7142857142857143,theist,TRUE
R_3ZOUlg8xXmnfVAx,consent,3,-3,-3,0,-3,-2,-3,3,dax,0,male,65,no,atheism,normal,lack,-1.5714285714285714,theist,TRUE
R_8qqMf1O4QmBexr7,consent,2,1,1,2,1,-2,-2,-3,dax,2,male,22,no,god,abnormal,possess,0.42857142857142855,atheist,TRUE
R_b925zTqRCOFKHQh,consent,1,-2,-2,-2,2,-2,-2,0,dax,0,female,24,no,atheism,normal,lack,-1,neither,TRUE
R_eRmSOFfTgLHL8hv,consent,1,2,0,0,-2,-2,-3,3,dax,6,male,30,no,atheism,normal,lack,-0.5714285714285714,theist,TRUE
R_3xgaw0uA16CANnv,consent,0,2,1,1,-1,-3,-3,-2,dax,235,male,34,no,god,abnormal,possess,-0.42857142857142855,atheist,TRUE
R_9B9Sw6UsLoUQBoN,consent,1,1,1,-1,0,-2,-3,-3,dax,6,male,41,no,god,normal,lack,-0.42857142857142855,atheist,TRUE
R_0kQvH1eLSfbVu73,consent,0,-2,-2,-2,0,-3,-3,2,dax,5,female,59,maybe,atheism,abnormal,possess,-1.7142857142857142,theist,TRUE
R_ba2rB8S28O44mJn,consent,2,2,-1,2,2,-1,-3,-3,dax,6,male,50,no,god,abnormal,possess,0.42857142857142855,atheist,TRUE
R_86pZuNuJlOHYTcx,consent,3,1,0,3,3,-3,-3,-3,dax,0,female,33,no,atheism,normal,lack,0.5714285714285714,atheist,TRUE
R_79xuJ8Y6bUg3YYl,consent,-3,-3,-3,-3,-3,3,-0,-2,dax,5,female,27,no,atheism,normal,lack,-1.7142857142857142,atheist,TRUE
R_db91yzKyd2tEUIt,consent,1,-1,-1,-1,-3,-3,-3,3,dax,0,female,27,no,god,abnormal,possess,-1.5714285714285714,theist,TRUE
R_b1RIpLJWoWfw5qB,consent,2,2,2,2,2,-1,-2,0,dax,6,male,29,no,atheism,normal,possess,1,neither,TRUE
R_2npJdQVIvplNEd7,consent,1,2,-1,2,2,-3,-2,1,dax,6,male,29,no,god,abnormal,lack,0.14285714285714285,theist,TRUE
R_39k8mHmJEmSUl25,consent,0,-3,-3,-3,0,-3,-3,3,dax,6,female,33,no,god,abnormal,lack,-2.142857142857143,theist,TRUE
R_ekrsfIxgDOK8WOh,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_6My01uMJdirpTVz,consent,0,2,1,0,-1,2,-2,-2,dax,6,male,27,no,atheism,normal,possess,0.2857142857142857,atheist,TRUE
R_1zfIZlpcYiflA2x,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_erPTPvnPHAsXvFz,consent,0,3,0,2,1,-1,-2,1,dax,0,NA,NA,NA,god,abnormal,possess,0.42857142857142855,theist,TRUE
R_2h4kMhZ5ZvAzhRj,consent,3,3,3,1,2,-3,-3,-3,dax,6,male,23,no,atheism,normal,possess,0.8571428571428571,atheist,TRUE
R_abCYCsvlHDOoY29,consent,-1,2,1,2,-2,-0,-3,3,dax,235,male,26,no,god,normal,possess,-0.14285714285714285,theist,TRUE
R_aVRkulMuXYkkNeJ,consent,-2,-2,-2,-3,2,-3,-0,2,dax,2,male,33,no,god,abnormal,lack,-1.4285714285714286,theist,TRUE
