participant_id,consent,michael_should,you_should,michael_would,you_would,germ_theory,evolution,god,soulmate,murder_wrong,vegetarianism,attention_check,done_before,sex,age,valence,domain,prevalence,own_belief,condition,agrees_with_michael,common_avg,rare_avg,pass_check
R_5gK4NNUApsIOpfL,consent,0,0,0,0,90,40,40,35,100,37,NA,no,male,32,2,religious,common,3,reliable,TRUE,76.66666666666667,37.333333333333336,FALSE
R_enEDUnMQL6pifEV,consent,0,0,0,0,98,75,50,30,100,15,dax,no,male,21,2,scientific,common,3,unreliable,TRUE,82.66666666666667,40,TRUE
R_0wAG8A34hH2mDWJ,consent,2,0,1,0,95,50,95,35,100,35,dax,no,female,35,1,scientific,common,1,neutral,TRUE,96.66666666666667,40,TRUE
R_brpuZRYDL3GH7wx,consent,0,0,2,0,95,60,75,25,99,10,NA,no,male,34,1,scientific,rare,2,reliable,TRUE,89.66666666666667,31.666666666666668,FALSE
R_1HtcCuJXOVqyha5,consent,3,3,3,3,99,68,62,30,88,27,dax,no,male,23,2,scientific,rare,2,unreliable,TRUE,83,41.666666666666664,TRUE
R_1M2K6WqUYGr4Au1,consent,0,0,3,2,60,30,50,30,30,40,dax,no,female,34,2,moral,rare,3,neutral,TRUE,46.666666666666664,33.333333333333336,TRUE
R_3z1A2lDms4rQgyp,consent,2,-0,2,-0,90,70,80,40,100,15,dax,no,female,49,1,religious,rare,-2,neutral,FALSE,90,41.666666666666664,TRUE
R_6yBXD1AwiRbzAxv,consent,3,3,3,3,95,70,70,40,90,10,dax,no,male,32,2,moral,common,2,reliable,TRUE,85,40,TRUE
R_eVZ435ypoDnz0tD,consent,1,-0,1,-0,50,30,50,30,30,30,dax,no,male,37,2,religious,rare,0,unreliable,FALSE,43.333333333333336,30,TRUE
R_81tYr95Bb2zRBcx,consent,2,0,0,0,100,95,95,95,10,25,Dax,no,female,26,1,moral,common,3,unreliable,TRUE,68.33333333333333,71.66666666666667,TRUE
R_5mN30vfyN9iQPQx,consent,3,-0,3,3,90,25,65,65,97,34,dax,yes,male,24,2,religious,rare,-3,reliable,FALSE,84,41.333333333333336,TRUE
R_08s1ZAMy5B22WPP,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_bwlQwRPNH35R6qV,consent,0,0,2,0,99,85,85,60,99,35,NA,yes,male,28,2,moral,common,3,neutral,TRUE,94.33333333333333,60,FALSE
R_ekYGzEBFQ5gx1WZ,consent,-1,-0,-1,-0,99,50,50,50,99,25,dax,no,male,18,2,religious,common,-3,unreliable,FALSE,82.66666666666667,41.666666666666664,TRUE
R_9XE9OwuI7GbKbGd,consent,2,2,2,2,90,70,90,60,100,15,dax,no,female,33,1,religious,common,1,reliable,TRUE,93.33333333333333,48.333333333333336,TRUE
R_e9YG24EwiuXlQmV,consent,0,-0,0,-0,1,1,1,1,1,1,dax,no,male,25,1,moral,rare,0,neutral,FALSE,1,1,TRUE
R_cO6dvT1zZANnSbb,consent,0,0,2,0,95,60,85,50,99,20,dax,no,male,25,2,scientific,common,2,reliable,TRUE,93,43.333333333333336,TRUE
R_4ZLPRpipwvwrdxH,consent,2,2,1,1,50,50,70,60,90,20,dax,no,male,22,1,scientific,common,2,neutral,TRUE,70,43.333333333333336,TRUE
R_559JQPcxpkbstQ9,consent,0,0,0,0,90,65,35,50,95,15,dax,no,male,30,1,scientific,rare,3,neutral,TRUE,73.33333333333333,43.333333333333336,TRUE
R_bDYVuaaprvLaHqJ,consent,-1,1,-1,1,98,60,48,55,98,60,dax,no,female,22,1,religious,rare,-3,unreliable,FALSE,81.33333333333333,58.333333333333336,TRUE
R_6rKkVlqfa1g4KI5,consent,3,3,3,3,90,60,70,60,99,10,dax,no,male,45,1,scientific,common,3,neutral,TRUE,86.33333333333333,43.333333333333336,TRUE
R_0SyREh5V66p2mNL,consent,0,0,2,0,95,75,45,10,100,10,dax,no,male,22,1,moral,common,3,reliable,TRUE,80,31.666666666666668,TRUE
R_8eouP1UvAkmzgHP,consent,1,1,2,1,80,90,70,60,100,95,NA,no,male,25,2,moral,rare,-2,unreliable,FALSE,83.33333333333333,81.66666666666667,FALSE
R_083ssyrvJmdzt41,consent,3,3,3,3,100,90,90,40,100,11,dax,no,female,53,2,scientific,rare,3,reliable,TRUE,96.66666666666667,47,TRUE
R_6hfhRYXDOHoQTAh,consent,-1,2,-1,3,85,50,70,75,80,10,NA,no,male,26,2,religious,rare,0,unreliable,FALSE,78.33333333333333,45,FALSE
R_3gxH5gXgZpWqyYB,consent,0,-0,2,-0,90,40,60,60,100,45,dax,no,male,20,1,religious,common,-3,reliable,FALSE,83.33333333333333,48.333333333333336,TRUE
R_8kvVlPlF1qIEunr,consent,3,3,3,3,100,50,50,50,100,40,dax,no,male,35,1,moral,common,2,neutral,TRUE,83.33333333333333,46.666666666666664,TRUE
R_djrYfW3FKYT51CB,consent,-1,1,-1,-1,90,50,60,50,100,15,dax,no,female,24,2,moral,rare,-2,unreliable,FALSE,83.33333333333333,38.333333333333336,TRUE
R_392pIn84J7nddeB,consent,2,2,2,2,85,75,50,75,85,33,dax,no,male,23,2,moral,common,2,reliable,TRUE,73.33333333333333,61,TRUE
R_37PsfBchxe1qByl,consent,1,-0,1,-0,90,70,90,90,99,10,dax,no,male,30,2,scientific,rare,0,neutral,FALSE,93,56.666666666666664,TRUE
R_8uexTyiLMt4NwgJ,consent,0,-1,3,-2,85,90,10,50,100,23,dax,no,male,26,2,religious,common,0,reliable,FALSE,65,54.333333333333336,TRUE
R_8eUQPIsle9Fw7Yh,consent,0,-0,0,-0,90,60,70,30,90,10,dax,no,female,22,1,moral,rare,-3,unreliable,FALSE,83.33333333333333,33.333333333333336,TRUE
R_d689kd1XFhDe3XL,consent,0,-0,1,-0,90,70,60,40,90,20,dax,no,male,27,1,religious,rare,-3,neutral,FALSE,80,43.333333333333336,TRUE
R_42weju1xc46JSCx,consent,1,0,1,0,50,50,50,50,100,10,dax,no,male,35,1,scientific,rare,1,unreliable,TRUE,66.66666666666667,36.666666666666664,TRUE
R_6wXDu4at603vNhb,consent,-1,0,-2,0,85,60,80,30,75,20,dax,yes,male,28,2,scientific,common,2,unreliable,TRUE,80,36.666666666666664,TRUE
R_41vhClZRwKt5Dxz,consent,3,-1,3,-1,95,99,50,95,100,20,dax,no,male,23,1,moral,rare,-2,reliable,FALSE,81.66666666666667,71.33333333333333,TRUE
R_beclrxJQC7RwxE1,consent,2,2,2,2,90,50,70,50,95,90,NA,no,male,23,2,moral,rare,2,unreliable,TRUE,85,63.333333333333336,FALSE
R_3BFwxLZ0Ki8PAih,consent,0,2,0,2,90,75,65,30,90,15,dax,no,male,35,1,religious,rare,-3,neutral,FALSE,81.66666666666667,40,TRUE
R_0D0ue0I6caU0y1v,consent,0,0,-1,0,95,80,90,70,90,8,dax,no,male,36,2,scientific,rare,3,unreliable,TRUE,91.66666666666667,52.666666666666664,TRUE
R_6VhLaAwJRHQw3yZ,consent,0,0,2,0,100,75,80,85,100,10,dax,no,male,22,2,religious,common,3,reliable,TRUE,93.33333333333333,56.666666666666664,TRUE
R_0wEDvSTPzzfuEQd,consent,2,-2,1,-1,100,40,70,60,100,10,dax,no,male,35,1,scientific,rare,0,neutral,FALSE,90,36.666666666666664,TRUE
R_1GPC05SgXnR6Ryl,consent,-1,0,-1,0,95,80,50,50,100,25,dax,no,male,24,1,scientific,common,3,unreliable,TRUE,81.66666666666667,51.666666666666664,TRUE
R_89edFQ6KPpPotrn,consent,2,0,2,0,99,75,35,80,99,5,dax,no,male,40,2,scientific,common,3,reliable,TRUE,77.66666666666667,53.333333333333336,TRUE
R_24ZO1nbKf9xl5Bj,consent,-1,2,2,-1,40,40,30,90,100,80,dax,no,male,26,1,moral,rare,1,reliable,TRUE,56.666666666666664,70,TRUE
R_bDYUu6PdI1OlrZr,consent,0,-0,0,-0,90,80,50,20,99,10,dax,no,male,27,1,religious,rare,-2,unreliable,FALSE,79.66666666666667,36.666666666666664,TRUE
R_4TkHUq4HiSghw3P,consent,0,0,0,0,90,40,70,50,100,10,dax,no,male,29,2,moral,common,3,neutral,TRUE,86.66666666666667,33.333333333333336,TRUE
R_6nyVvMH5cE0fRGt,consent,1,1,0,0,70,75,74,71,88,34,dax,no,male,28,1,religious,common,2,neutral,TRUE,77.33333333333333,60,TRUE
R_6xk4YdcFmm9Bj4V,consent,0,-0,0,-0,75,60,60,50,93,70,dax,no,female,21,2,scientific,rare,0,neutral,FALSE,76,60,TRUE
R_85P7EbB73IinBTn,consent,-2,3,1,1,42,45,0,35,99,76,dax,no,male,21,1,religious,common,1,unreliable,TRUE,47,52,TRUE
R_06NF4oBHATebzyR,consent,0,0,0,0,70,60,80,70,20,70,dax,no,male,31,1,scientific,common,3,neutral,TRUE,56.666666666666664,66.66666666666667,TRUE
R_extneT4OR6Vf5yZ,consent,0,0,2,0,90,45,65,35,100,10,dax,maybe,male,28,2,moral,common,3,reliable,TRUE,85,30,TRUE
R_0oEwhsUHKzFtJtz,consent,1,-1,2,-0,90,30,80,40,99,8,dax,no,male,26,2,moral,rare,-2,reliable,FALSE,89.66666666666667,26,TRUE
R_6J5Lm7KFGCw0ieV,consent,2,1,2,2,88,78,59,90,99,76,dax,no,male,24,1,moral,common,3,neutral,TRUE,82,81.33333333333333,TRUE
R_4I1iDvjTDvLmskZ,consent,-1,-2,-1,-2,97,70,84,55,92,4,dax,no,male,26,2,scientific,common,3,unreliable,TRUE,91,43,TRUE
R_eD8sLOfC5S1uFVj,consent,3,3,3,3,60,20,70,60,98,20,dax,no,female,26,1,scientific,rare,3,neutral,TRUE,76,33.333333333333336,TRUE
R_3WqOkqDT4GxETtP,consent,-3,0,-3,0,100,60,70,25,100,10,dax,no,male,24,2,scientific,rare,3,unreliable,TRUE,90,31.666666666666668,TRUE
R_b2YC63mnsQPgzwF,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
R_aad3AbaoN2LZW97,consent,-2,-1,-3,0,90,90,60,60,100,90,dax,no,female,44,1,scientific,common,3,unreliable,TRUE,83.33333333333333,80,TRUE
R_7QaWni522Yr6HsN,consent,0,-0,2,-0,90,50,90,50,99,30,dax,no,male,33,1,moral,rare,-2,neutral,FALSE,93,43.333333333333336,TRUE
R_3NI7zhLgNzPjWnP,consent,3,3,3,-0,90,45,90,55,100,40,dax,no,male,31,2,moral,rare,-3,reliable,FALSE,93.33333333333333,46.666666666666664,TRUE
R_0OEmJeAf1vn57Zr,consent,0,-0,1,-0,98,60,80,60,96,15,dax,no,male,26,2,religious,common,-2,reliable,FALSE,91.33333333333333,45,TRUE
R_aWRDGtLME4C6nBz,consent,3,-0,-1,-2,90,30,90,80,70,5,dax,yes,female,22,1,religious,common,-3,reliable,FALSE,83.33333333333333,38.333333333333336,TRUE
R_eeu90AvJoY1CEjb,consent,3,2,2,3,99,80,50,50,80,80,dax,no,male,21,1,scientific,rare,2,neutral,TRUE,76.33333333333333,70,TRUE
R_9og3vJIN5qPLhf7,consent,0,0,-2,-2,90,50,60,40,80,20,dax,no,female,21,2,scientific,common,2,unreliable,TRUE,76.66666666666667,36.666666666666664,TRUE
R_9ZAs0BxxZEvDWw5,consent,0,0,0,0,50,50,50,50,90,20,dax,no,male,26,1,moral,common,3,neutral,TRUE,63.333333333333336,40,TRUE
R_8prnydVzdPnQHSR,consent,-1,1,-2,2,100,50,75,30,90,10,dax,no,female,50,1,religious,rare,0,unreliable,FALSE,88.33333333333333,30,TRUE
R_9zvjcgExkHcl9MF,consent,0,1,2,1,90,75,75,85,99,20,dax,no,male,20,2,religious,rare,1,reliable,TRUE,88,60,TRUE
R_bg9DQnY7OXhxxZP,consent,-1,-1,-1,-1,75,30,80,70,95,35,dax,no,male,27,2,moral,common,3,unreliable,TRUE,83.33333333333333,45,TRUE
R_cBiBv7adEnpMjK5,consent,0,0,1,1,90,50,65,75,98,5,dax,no,female,31,2,scientific,common,2,reliable,TRUE,84.33333333333333,43.333333333333336,TRUE
R_bpYdTCT8teAFZjv,consent,0,0,0,0,95,65,30,20,99,10,dax,no,male,24,2,scientific,rare,2,neutral,TRUE,74.66666666666667,31.666666666666668,TRUE
R_0dJcVTYd8qCwn0F,consent,3,2,2,1,99,50,50,50,99,10,dax,no,female,33,1,scientific,rare,3,reliable,TRUE,82.66666666666667,36.666666666666664,TRUE
R_3KquexvqKy7AEF7,consent,1,1,0,0,85,85,60,60,90,25,dax,no,female,58,2,moral,common,3,unreliable,TRUE,78.33333333333333,56.666666666666664,TRUE
R_eJuEuH6L0YUe4Jv,consent,3,-0,2,-0,89,46,54,29,97,5,dax,no,male,36,1,moral,rare,-3,reliable,FALSE,80,26.666666666666668,TRUE
R_5oI60QgQUXB5Bw9,consent,2,2,2,2,100,46,52,55,95,29,dax,no,female,23,1,scientific,common,3,neutral,TRUE,82.33333333333333,43.333333333333336,TRUE
R_4Z78cCUuBEKG417,consent,0,-0,-2,-1,98,75,52,35,99,30,dax,no,male,23,2,moral,rare,-2,unreliable,FALSE,83,46.666666666666664,TRUE
R_1XsXLpsoMs1RFn7,consent,2,2,2,2,60,40,50,20,100,50,dax,no,female,53,2,religious,common,2,reliable,TRUE,70,36.666666666666664,TRUE
R_9ZBG6ePgKa5v7qB,consent,0,-0,0,-0,100,38,60,40,95,40,dax,no,male,39,1,religious,common,-1,unreliable,FALSE,85,39.333333333333336,TRUE
R_0i9I2mEJCnp9LsV,consent,3,3,3,3,70,70,50,50,95,30,dax,no,female,33,1,moral,common,3,neutral,TRUE,71.66666666666667,50,TRUE
R_a4CaJYRrJhf8brv,consent,-1,1,-2,-0,95,50,60,80,95,30,dax,no,male,33,1,moral,rare,-2,unreliable,FALSE,83.33333333333333,53.333333333333336,TRUE
R_0e7YlnTSiEmWHyJ,consent,0,0,0,0,100,60,75,60,100,60,NA,no,female,33,1,scientific,rare,1,unreliable,TRUE,91.66666666666667,60,FALSE
R_9YwuxKyu03IRtch,consent,0,0,0,0,100,60,75,60,100,60,NA,no,male,36,1,scientific,common,3,neutral,TRUE,91.66666666666667,60,FALSE
R_3mxRhWAichpnMrz,consent,1,-1,1,-1,100,40,70,25,100,30,dax,no,male,21,2,religious,rare,-1,reliable,FALSE,90,31.666666666666668,TRUE
