participant_id,consent,belief_in_god,conf_in_existing,heard_of_existing,michael_should,michael_would,plausible,realistic,common_check,proper_check,agree_check,done_before,sex,age,common,proper,theism,pass.common,pass.proper,pass.agree
R_UL5DjM3HfuDL7bj,consent,1,5,4,-1,-1,1,1,1,1,1,no,female,22,common,proper,theist,TRUE,TRUE,TRUE
R_3qCMeznLbHrfO3o,consent,3,6,3,-1,-1,3,3,1,2,1,no,female,60,common,improper,theist,TRUE,TRUE,TRUE
R_2ClDzlLMrNZr4Vj,consent,3,4,4,0,0,3,3,1,1,1,no,female,22,common,proper,theist,TRUE,TRUE,TRUE
R_uhbkJG0Sntqe2sN,consent,3,5,4,3,3,-3,0,4,2,1,no,female,43,uncommon,improper,theist,TRUE,TRUE,TRUE
R_1OI7d5xwr7H7gi0,consent,-2,1,4,3,3,-3,1,4,2,2,no,male,29,uncommon,improper,atheist,TRUE,TRUE,FALSE
R_33ycwPw0za4KWqC,consent,2,5,4,0,0,1,2,1,2,1,no,female,42,common,improper,theist,TRUE,TRUE,TRUE
R_1hyiQ5hDuC1FqML,consent,-3,1,4,-3,0,2,2,1,2,1,no,male,30,common,improper,atheist,TRUE,TRUE,TRUE
R_2cjxVWwIxJYvlL8,consent,-2,5,3,0,0,1,1,3,2,1,no,male,52,uncommon,improper,atheist,FALSE,TRUE,TRUE
R_2THqG20XXjc1ywk,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3jcCRWqwfdL0GcP,consent,1,5,3,0,3,1,1,1,1,1,no,female,32,common,proper,theist,TRUE,TRUE,TRUE
R_3O1R8xpW1xQcKzt,consent,-1,5,4,0,2,1,2,1,1,1,no,male,50,common,proper,atheist,TRUE,TRUE,TRUE
R_3oTRteZ800wxwbc,consent,-3,5,4,-2,2,1,2,4,1,1,no,male,53,uncommon,proper,atheist,TRUE,TRUE,TRUE
R_3nu9qkpOR5YPEhI,consent,3,4,4,0,0,-3,-2,2,2,1,no,female,27,common,improper,theist,FALSE,TRUE,TRUE
R_2VmgyK4Ikz23ruV,consent,-2,6,4,-1,0,3,3,4,1,1,no,female,41,uncommon,proper,atheist,TRUE,TRUE,TRUE
R_1IGUwi12wCX3ylQ,consent,0,2,4,2,2,0,1,1,1,1,no,male,42,common,proper,neither,TRUE,TRUE,TRUE
R_db3gctbV8hvnVQZ,consent,-3,1,4,0,-2,-2,-2,4,2,1,no,male,31,common,proper,atheist,FALSE,FALSE,TRUE
R_2zSKGLluOt9ifGo,consent,-3,4,4,-1,0,1,1,2,2,1,no,male,25,common,improper,atheist,FALSE,TRUE,TRUE
R_25XxYnRBryNbVxF,consent,3,7,4,3,3,3,3,1,1,1,no,female,31,common,proper,theist,TRUE,TRUE,TRUE
R_3Rt2jVoTwZyicBk,consent,3,7,3,0,0,-2,-2,1,1,1,no,male,36,common,proper,theist,TRUE,TRUE,TRUE
R_6yP0SExY0segNfb,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2Xoo0IYEh1rjISh,consent,0,4,3,-3,-3,2,3,3,1,2,no,male,33,common,improper,neither,FALSE,FALSE,FALSE
R_9Bo8zFqWKTcO361,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1oHdbJzcY36HO3c,consent,1,3,4,0,2,-2,2,3,1,1,no,male,30,uncommon,proper,theist,FALSE,TRUE,TRUE
R_3Mb5NSzlmVw6LHL,consent,-3,1,4,-3,-3,-2,-2,1,1,2,no,female,53,uncommon,proper,atheist,FALSE,TRUE,FALSE
R_x9kUSnQxVvrZRQZ,consent,-2,3,4,0,2,0,-1,1,1,1,no,male,30,common,proper,atheist,TRUE,TRUE,TRUE
R_1LbzpEe9LSHqvPW,consent,3,5,4,-1,-1,-2,0,4,2,1,no,female,65,uncommon,improper,theist,TRUE,TRUE,TRUE
R_PM3r43pvUJ6rGOB,consent,-1,4,4,-1,-1,0,-1,1,2,1,no,male,21,common,improper,atheist,TRUE,TRUE,TRUE
R_1kHXhjPc2Odw3rc,consent,1,4,3,0,1,2,2,3,1,1,no,male,25,uncommon,proper,theist,FALSE,TRUE,TRUE
R_SQ7dcJRSz3xZBhn,consent,1,3,4,-3,-3,-1,-2,NA,2,1,no,male,27,uncommon,improper,theist,NA,TRUE,TRUE
R_3el57xNqBkUOzIN,consent,3,NA,4,0,-1,-3,-2,4,2,1,no,female,51,uncommon,improper,theist,TRUE,TRUE,TRUE
R_C1s6MORy4Asp2jT,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_29bHKNgtBT7YVDT,consent,-3,1,4,2,1,-2,-2,4,2,1,no,female,30,uncommon,improper,atheist,TRUE,TRUE,TRUE
R_2QDpDbhH652T9cV,consent,0,3,4,0,0,-1,2,1,2,1,no,female,31,common,proper,neither,TRUE,FALSE,TRUE
R_3elXBg5C98eTZnD,consent,-3,1,4,0,3,-3,-3,4,1,1,no,male,52,uncommon,proper,atheist,TRUE,TRUE,TRUE
R_1IFufvsfvsKCAE2,consent,1,6,4,2,2,-1,-1,2,1,1,no,male,28,uncommon,proper,theist,FALSE,TRUE,TRUE
R_330SpuLldfS3WN6,consent,3,4,3,0,1,-1,-2,3,2,1,no,female,62,uncommon,improper,theist,FALSE,TRUE,TRUE
R_3sv81u8z65ft0xr,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2Qhf0jtDHaCKEft,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_27VHT1O2o7ptK5S,consent,-2,2,4,2,2,-1,-1,1,1,1,no,female,29,common,proper,atheist,TRUE,TRUE,TRUE
R_3DcCf1bpCOmg6Vb,consent,2,6,4,1,0,1,1,2,2,1,no,female,34,common,improper,theist,FALSE,TRUE,TRUE
R_3p9ircYUoyDZwzu,consent,2,5,4,-1,1,-1,1,4,2,1,no,male,51,uncommon,improper,theist,TRUE,TRUE,TRUE
R_3isCuNgLCpMm4dH,consent,3,3,3,0,0,-3,2,1,2,1,no,female,52,common,improper,theist,TRUE,TRUE,TRUE
R_2txs6NhX62IV1BO,consent,-2,6,4,1,1,-2,1,1,1,1,no,male,35,common,proper,atheist,TRUE,TRUE,TRUE
R_3MmxXrBBfbabTRa,consent,-3,7,3,0,0,3,3,1,2,1,maybe,male,26,uncommon,improper,atheist,FALSE,TRUE,TRUE
R_33pQzjvS9OZMsQx,consent,2,5,4,2,2,1,2,1,1,1,no,male,29,common,proper,theist,TRUE,TRUE,TRUE
R_qUsKAdHYRrPrwrf,consent,1,5,4,1,2,-1,0,4,1,1,no,male,63,uncommon,proper,theist,TRUE,TRUE,TRUE
R_1Fx1L9V9qPXrFsN,consent,3,5,3,0,-1,0,1,2,1,1,no,male,57,uncommon,improper,theist,FALSE,FALSE,TRUE
R_cuVXBwBPCGO3eCt,consent,3,4,4,2,2,0,-2,4,2,1,no,female,57,uncommon,improper,theist,TRUE,TRUE,TRUE
R_xsUHFiraMV7CtvX,consent,1,5,2,1,1,1,1,3,1,1,no,female,20,common,proper,theist,FALSE,TRUE,TRUE
R_9uz3IM9Q0CFyrO9,consent,1,4,4,0,0,-1,-1,1,1,1,no,male,31,common,improper,theist,TRUE,FALSE,TRUE
R_ZE5OAY4fBrdUoTL,consent,3,2,4,0,0,0,1,1,2,1,no,male,34,uncommon,improper,theist,FALSE,TRUE,TRUE
R_1f17Gch0N9TXaGX,consent,-2,1,4,-1,-1,-1,1,1,1,1,no,male,35,common,proper,atheist,TRUE,TRUE,TRUE
R_2z8zOiHyx7DNo8i,consent,3,7,3,2,2,1,1,3,2,1,no,male,43,uncommon,improper,theist,FALSE,TRUE,TRUE
R_22kNUSp3E9NMeeu,consent,-3,2,4,-2,-2,-2,-2,4,2,2,no,female,27,common,proper,atheist,FALSE,FALSE,FALSE
R_2abDlIo0Jg8Q31M,consent,3,1,4,0,0,-3,-1,1,2,1,no,female,42,common,improper,theist,TRUE,TRUE,TRUE
R_2rjDyLNw6cwGPqk,consent,3,1,4,0,0,-2,-2,1,1,1,no,male,36,common,proper,theist,TRUE,TRUE,TRUE
R_3MgjoeVayXUZ51I,consent,3,4,4,0,0,-1,-3,1,2,1,no,female,49,common,improper,theist,TRUE,TRUE,TRUE
R_2aXgNNEi6CyNFJH,consent,2,5,2,1,0,-1,1,2,1,2,no,female,25,common,proper,theist,FALSE,TRUE,FALSE
R_cTJIOvXGU8sIn2p,consent,3,1,4,0,0,0,0,2,1,2,yes,female,27,uncommon,improper,theist,FALSE,FALSE,FALSE
R_vwB10K4xqz0Iakh,consent,NA,1,4,-3,-3,2,-1,4,2,1,no,male,30,uncommon,improper,NA,TRUE,TRUE,TRUE
R_1N9OoZOV9Z9C2og,consent,-2,4,3,0,2,1,2,1,1,1,no,male,37,common,proper,atheist,TRUE,TRUE,TRUE
R_1M0NpMsMO4u9X6S,consent,1,3,3,1,2,1,-1,1,1,1,no,male,27,common,proper,theist,TRUE,TRUE,TRUE
R_1H65spR4nGuCcfb,consent,-2,2,4,2,2,-1,3,2,1,1,no,male,53,common,proper,atheist,FALSE,TRUE,TRUE
R_29j1JE53iWwI0H1,consent,3,7,4,0,0,-2,0,1,2,1,no,female,38,common,improper,theist,TRUE,TRUE,TRUE
R_29pis3c9iJXcq85,consent,3,7,4,3,3,3,2,1,2,1,no,female,29,common,improper,theist,TRUE,TRUE,TRUE
R_1rJ5oQ18uT8lIXn,consent,3,2,4,0,0,1,2,2,1,1,no,male,70,common,proper,theist,FALSE,TRUE,TRUE
R_27CLSnK4lKtU50e,consent,1,5,2,0,1,0,1,3,1,1,no,male,35,uncommon,proper,theist,FALSE,TRUE,TRUE
R_2U3nAGFxUk8uKL0,consent,2,6,1,1,2,2,1,2,1,1,no,male,28,uncommon,improper,theist,FALSE,FALSE,TRUE
R_4ORqLo1qJ5aXsyZ,consent,3,6,2,-1,-1,-3,3,4,2,1,no,male,40,uncommon,improper,theist,TRUE,TRUE,TRUE
R_12QfjV8xSbS0fPJ,consent,3,7,2,0,0,1,0,2,1,1,no,female,54,uncommon,proper,theist,FALSE,TRUE,TRUE
R_1cZeZokJ3S7a9an,consent,3,5,4,-1,-1,1,1,2,2,2,no,male,32,uncommon,improper,theist,FALSE,TRUE,FALSE
R_3lLlKwGYVf7f1RC,consent,-2,4,4,1,1,0,1,1,1,1,no,male,30,common,proper,atheist,TRUE,TRUE,TRUE
R_3JCRIPtCNd1itTe,consent,1,5,3,1,1,2,1,2,1,1,no,female,41,uncommon,improper,theist,FALSE,FALSE,TRUE
R_3kb76Cqr97Gnske,consent,2,2,4,-1,-2,1,1,4,1,1,no,male,62,uncommon,proper,theist,TRUE,TRUE,TRUE
R_2SpltSyS1LTArgp,consent,3,2,4,0,0,-3,1,4,2,1,no,female,37,uncommon,improper,theist,TRUE,TRUE,TRUE
R_b1khLY41BpNn5u1,consent,0,4,3,2,2,1,2,2,1,1,no,male,27,common,proper,neither,FALSE,TRUE,TRUE
R_AL3mnfyOgj2PIHf,consent,3,6,4,-1,-1,1,0,1,2,1,no,male,26,common,improper,theist,TRUE,TRUE,TRUE
R_a5VJBNFAGJQWL17,consent,3,6,3,0,0,0,2,3,1,1,no,male,64,uncommon,proper,theist,FALSE,TRUE,TRUE
R_11iHKXtC5qAXVA9,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2wvEdbBeVGha8Hm,consent,1,5,4,NA,2,1,1,3,2,1,no,female,24,common,improper,theist,FALSE,TRUE,TRUE
R_2CkWS0uCuAbCwD7,consent,0,3,4,-2,-1,2,1,4,2,1,no,female,37,uncommon,improper,neither,TRUE,TRUE,TRUE
R_3stWUwjlsSwc2ag,consent,1,5,4,-2,-1,1,1,1,2,1,no,male,29,common,improper,theist,TRUE,TRUE,TRUE
R_2PunZUkYTiBeTGO,consent,3,4,4,0,1,0,-3,4,1,1,no,female,40,uncommon,proper,theist,TRUE,TRUE,TRUE
R_3rWi2iQYSU5RGXT,consent,3,6,3,-1,-1,1,1,2,2,1,no,male,29,uncommon,improper,theist,FALSE,TRUE,TRUE
R_tFic8vqm0donOdX,consent,-3,2,4,0,0,1,1,2,1,1,no,male,19,uncommon,proper,atheist,FALSE,TRUE,TRUE
R_1hMssS03a6M0wC0,consent,3,3,4,0,0,0,-1,2,2,1,no,female,62,common,proper,theist,FALSE,FALSE,TRUE
R_C1X5b77ZFUGidX3,consent,2,5,4,1,1,1,1,1,1,2,no,female,25,common,proper,theist,TRUE,TRUE,FALSE
R_1f88sZpr0Q8SOOM,consent,3,3,4,0,0,-1,1,1,2,1,no,female,35,common,improper,theist,TRUE,TRUE,TRUE
R_2aqtHp4rBZKdnLX,consent,-3,4,2,-1,0,1,1,1,1,1,no,female,36,uncommon,improper,atheist,FALSE,FALSE,TRUE
R_2dyvR1o2WwcTclC,consent,0,1,3,-3,-3,0,3,4,1,1,no,female,29,uncommon,proper,neither,TRUE,TRUE,TRUE
R_12hC9kIVf8JVGN5,consent,0,4,4,0,0,-1,-1,1,1,1,no,male,31,common,proper,neither,TRUE,TRUE,TRUE
R_qOThFTLfBGReirv,consent,3,7,4,0,0,1,-1,4,2,1,no,female,45,uncommon,improper,theist,TRUE,TRUE,TRUE
R_vjD7ASyvkrSHR1n,consent,-2,2,4,-1,1,-1,2,1,1,1,no,male,21,common,improper,atheist,TRUE,FALSE,TRUE
R_3iOpk0xZZ2NNibI,consent,1,7,3,0,0,3,3,2,2,1,no,female,30,common,improper,theist,FALSE,TRUE,TRUE
R_vZBQemx1aBuVL0t,consent,1,4,4,0,0,0,-1,2,1,2,no,female,28,uncommon,proper,theist,FALSE,TRUE,FALSE
R_3k0URSdwzdMU9hN,consent,3,3,4,0,0,-2,1,3,1,1,no,female,46,uncommon,proper,theist,FALSE,TRUE,TRUE
R_2rHPIeNechoR93B,consent,3,3,4,-1,0,1,1,3,2,1,no,male,64,uncommon,improper,theist,FALSE,TRUE,TRUE
R_1j81EREOOMOGrsC,consent,3,6,4,0,2,1,-2,2,1,1,no,female,48,uncommon,proper,theist,FALSE,TRUE,TRUE
R_3a3y9lBaKoOSI2R,consent,1,5,4,2,1,-1,1,2,1,1,no,male,31,uncommon,proper,theist,FALSE,TRUE,TRUE
R_2fBCPh6npmFEKmt,consent,2,6,1,0,1,1,0,2,2,1,no,male,27,common,proper,theist,FALSE,FALSE,TRUE
R_1lgJzkcuIYijKbv,consent,-1,4,3,2,3,3,3,2,1,1,no,male,31,uncommon,proper,atheist,FALSE,TRUE,TRUE
R_3kzwkFo2c9z27Wn,consent,0,4,4,3,3,0,0,1,1,1,no,female,31,common,improper,neither,TRUE,FALSE,TRUE
